Full,mode,acc_mean,acc_std,,,,,,,acc_mean,acc_std,,,,,,,,,
,Full,0.72588652482269433,7.6754825609623668E-3,,,,,,,0.72588652482269433,7.6754825609623668E-3,,,,,,,,,
r8,,,,,,,,,r8,,,,,,,,,,,
,mode,acc_mean,acc_std,,,,,,,mode,acc_mean,acc_std,,,,,,,,
1,lora,0.78847517730496408,1.958397343472835E-3,,,,,,1,lora,0.78847517730496408,1.958397343472835E-3,,,,,,,,
2,flat_lora,0.78794326241134705,4.2182188841736615E-3,,,,,,2,flat_lora,0.78794326241134705,4.2182188841736615E-3,,,,,,,,
3,pacf,0.78918439716311994,2.5448049812778098E-3,,,,,,3,pacf,0.78918439716311994,2.5448049812778098E-3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
r16,,,,,,,,,r16,,,,,,,,,,,
,mode,acc_mean,acc_std,,,,,,,mode,acc_mean,acc_std,,,,,,,,
1,lora,0.78226950354609903,2.2286888457404433E-3,,,,,,1,lora,0.78226950354609903,2.2286888457404433E-3,,,,,,,,
2,flat_lora,0.78138297872340401,3.554953485064296E-3,,,,,,2,flat_lora,0.78138297872340401,3.554953485064296E-3,,,,,,,,
3,pacf,0.78794326241134682,4.5619433795276824E-3,,,,,,3,pacf,0.78794326241134682,4.5619433795276824E-3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
full,,,,,,,,,,,,,,,,,,,,
,dataset,rank,mode,seed,acc_last,loss_last,f1_last,acc_best,loss_best,f1_best,epochs,flat_sigma_max,pac_lambda,reg_warmup_ratio,lora_alpha,lora_r,lr_lora,lr_full,weight_decay,dropout
1,dtd,8,full,1,0.71968085106382895,1.20010237668422,0.71699887453396305,0.72287234042553195,1.2094326295751201,0.72003971993068805,10,,,,,,,1E-4,0,0.05
2,dtd,8,full,2,0.72127659574467995,1.2092467437399099,0.72041266467449006,0.72127659574467995,1.2092467437399099,0.72041266467449006,10,,,,,,,1E-4,0,0.05
