Full,mode,acc_mean,acc_std,,,,,,,acc_mean,acc_std,,,,,,,,,
,Full,0.96766666666666667,1.3523641850067512E-3,,,,,,,0.96766666666666667,1.3523641850067512E-3,,,,,,,,,
,,,,,,,,,,,,,,,,0.97949999999999993,,,,
r8,,,,,,,,,r8,,,,,,,1.1575836902789974E-3,,,,
,mode,acc_mean,acc_std,,,,,,,mode,acc_mean,acc_std,,,,0.98050000000000004,,,,
1,lora,0.97949999999999993,1.1575836902789974E-3,,,,,,1,lora,0.97949999999999993,1.1575836902789974E-3,,,,,,,,
2,flat_lora,0.98050000000000004,4.3204937989386116E-4,,,,,,2,flat_lora,0.98050000000000004,4.3204937989386116E-4,,,,,,,,
3,pacf,0.98103333333333342,5.7348835113620229E-4,,,,,,3,pacf,0.98103333333333342,5.7348835113620229E-4,,,,,,,,
,,,,,,,,,,,,,,,,0.98066666666666669,,,,
,,,,,,,,,,,,,,,,7.0395706939810766E-4,,,,
,,,,,,,,,,,,,,,,0.98053333333333337,,,,
,,,,,,,,,,,,,,,,4.4969125210772906E-4,,,,
,,,,,,,,,,,,,,,,0.98153333333333348,,,,
r16,,,,,,,,,r16,,,,,,,5.2493385826744799E-4,,,,
,mode,acc_mean,acc_std,,,,,,,mode,acc_mean,acc_std,,,,,,,,
1,lora,0.98066666666666669,7.0395706939810766E-4,,,,,,1,lora,0.98066666666666669,7.0395706939810766E-4,,,,,,,,
2,flat_lora,0.98053333333333337,4.4969125210772906E-4,,,,,,2,flat_lora,0.98053333333333337,4.4969125210772906E-4,,,,,,,,
3,pacf,0.98153333333333348,5.2493385826744799E-4,,,,,,3,pacf,0.98153333333333348,5.2493385826744799E-4,,,,,,,,
full,,,,,,,,,,,,,,,,,,,,
,dataset,rank,mode,seed,acc_last,loss_last,f1_last,acc_best,loss_best,f1_best,epochs,flat_sigma_max,pac_lambda,reg_warmup_ratio,lora_alpha,lora_r,lr_lora,lr_full,weight_decay,
1,cifar10,8,full,1,0.96609999999999996,0.155710383546352,0.96608016917764195,0.96609999999999996,0.155710383546352,0.96608016917764195,10,0.05,2.0000000000000001E-4,0.3,32,8,5.0000000000000001E-4,1E-4,0.1,
2,cifar10,8,full,2,0.96750000000000003,0.13909674324989299,0.96748358077443497,0.96750000000000003,0.13909674324989299,0.96748358077443497,10,0.05,2.0000000000000001E-4,0.3,32,8,5.0000000000000001E-4,1E-4,0.1,
3,cifar10,8,full,3,0.96940000000000004,0.13860097782611799,0.96940053505816304,0.96940000000000004,0.13860097782611799,0.96940053505816304,10,0.05,2.0000000000000001E-4,0.3,32,8,5.0000000000000001E-4,1E-4,0.1,
,,,,mean,0.96766666666666667,,,,,,,,,,,,,,,
,,,,std,1.3523641850067512E-3,,,,,,,,,,,,,,,
r8,,,,,,,,,,,,,,,,,,,,
,dataset,rank,mode,seed,acc_last,loss_last,f1_last,acc_best,loss_best,f1_best,epochs,flat_sigma_max,pac_lambda,reg_warmup_ratio,lora_alpha,lora_r,lr_lora,lr_full,weight_decay,dropout
1,cifar10,8,lora,1,0.97840000000000005,8.5102374815940796E-2,0.97839842597726101,0.97970000000000002,8.4057551085948895E-2,0.97969738741044599,10,,,,32,8,5.0000000000000001E-4,1E-4,0,0.05
2,cifar10,8,lora,2,0.97899999999999998,8.4610153710842101E-2,0.97898795340994604,0.97899999999999998,8.4610153710842101E-2,0.97898795340994604,10,,,,32,8,5.0000000000000001E-4,1E-4,0,0.05
3,cifar10,8,lora,3,0.98109999999999997,8.3185483133792801E-2,0.98110051514799002,0.98109999999999997,8.3185483133792801E-2,0.98110051514799002,10,,,,32,8,5.0000000000000001E-4,1E-4,0,0.05
,,,,mean,0.97949999999999993,,,,,,,,,,,,,,,
,,,,std,1.1575836902789974E-3,,,,,,,,,,,,,,,
4,cifar10,8,flat_lora,1,0.98070000000000002,7.9346324622630998E-2,0.98070451331036801,0.98070000000000002,7.9346324622630998E-2,0.98070451331036801,10,0.05,,,32,8,5.0000000000000001E-4,1E-4,0,0.05
5,cifar10,8,flat_lora,2,0.97989999999999999,7.8210954415798103E-2,0.97989472224624696,0.97989999999999999,7.8210954415798103E-2,0.97989472224624696,10,0.05,,,32,8,5.0000000000000001E-4,1E-4,0,0.05
6,cifar10,8,flat_lora,3,0.98089999999999999,8.5559351623058305E-2,0.98090023489037304,0.98089999999999999,8.5559351623058305E-2,0.98090023489037304,10,0.05,,,32,8,5.0000000000000001E-4,1E-4,0,0.05
,,,,mean,0.98050000000000004,,,,,,,,,,,,,,,
,,,,std,4.3204937989386116E-4,,,,,,,,,,,,,,,
7,cifar10,8,pacf,1,0.98170000000000002,7.7561789238452902E-2,0.98168925182736799,0.98170000000000002,7.7561789238452902E-2,0.98168925182736799,10,0.05,1E-4,0.3,32,8,5.0000000000000001E-4,1E-4,0,0.05
8,cifar10,8,pacf,2,0.98109999999999997,7.8010686862468703E-2,0.98109116907687,0.98180000000000001,7.7470171332359297E-2,0.98179657807332898,10,0.05,1E-4,0.3,32,8,5.0000000000000001E-4,1E-4,0,0.05
9,cifar10,8,pacf,3,0.98029999999999995,8.3119718956947294E-2,0.98030037289345096,0.98080000000000001,8.2869407570362097E-2,0.98083944972824699,10,0.05,1E-4,0.3,32,8,5.0000000000000001E-4,1E-4,0,0.05
,,,,mean,0.98103333333333342,,,,,,,,,,,,,,,
,,,,std,5.7348835113620229E-4,,,,,,,,,,,,,,,
r16,,,,,,,,,,,,,,,,,,,,
,dataset,rank,mode,seed,acc_last,loss_last,f1_last,acc_best,loss_best,f1_best,epochs,flat_sigma_max,pac_lambda,reg_warmup_ratio,lora_alpha,lora_r,lr_lora,lr_full,weight_decay,dropout
1,cifar10,16,lora,1,0.98160000000000003,7.9948242866992897E-2,0.981593463861272,0.98170000000000002,7.9961877024173705E-2,0.98169656933369998,10,,,,32,16,5.0000000000000001E-4,1E-4,0,0.05
2,cifar10,16,lora,2,0.98050000000000004,8.28663730740547E-2,0.98048822539078295,0.98050000000000004,8.28663730740547E-2,0.98048822539078295,10,,,,32,16,5.0000000000000001E-4,1E-4,0,0.05
3,cifar10,16,lora,3,0.97989999999999999,8.8816573703289006E-2,0.97990732298139205,0.97989999999999999,8.8816573703289006E-2,0.97990732298139205,10,,,,32,16,5.0000000000000001E-4,1E-4,0,0.05
,,,,mean,0.98066666666666669,,,,,,,,,,,,,,,
,,,,std,7.0395706939810766E-4,,,,,,,,,,,,,,,
4,cifar10,16,flat_lora,1,0.98,8.2618609344959196E-2,0.97999619021357698,0.98019999999999996,8.2731187057495104E-2,0.98018614798311199,10,0.05,,,32,16,5.0000000000000001E-4,1E-4,0,0.05
5,cifar10,16,flat_lora,2,0.98050000000000004,8.1143733870983101E-2,0.98049907977682105,0.98080000000000001,8.1230628478526995E-2,0.98079655562923196,10,0.05,,,32,16,5.0000000000000001E-4,1E-4,0,0.05
6,cifar10,16,flat_lora,3,0.98109999999999997,8.0850046384334504E-2,0.98110272902780704,0.98109999999999997,8.0850046384334504E-2,0.98110272902780704,10,0.05,,,32,16,5.0000000000000001E-4,1E-4,0,0.05
,,,,mean,0.98053333333333337,,,,,,,,,,,,,,,
,,,,std,4.4969125210772906E-4,,,,,,,,,,,,,,,
7,cifar10,16,pacf,1,0.98080000000000001,8.1589937126636494E-2,0.98080376841941597,0.98080000000000001,8.1589937126636494E-2,0.98080376841941597,10,0.05,1E-4,0.3,32,16,5.0000000000000001E-4,1E-4,0,0.05
8,cifar10,16,pacf,2,0.98180000000000001,8.3847594690322796E-2,0.98180650980317397,0.98180000000000001,8.3847594690322796E-2,0.98180650980317397,10,0.05,1E-4,0.3,32,16,5.0000000000000001E-4,1E-4,0,0.05
9,cifar10,16,pacf,3,0.98199999999999998,7.6265858137607501E-2,0.981998982751211,0.98199999999999998,7.6265858137607501E-2,0.981998982751211,10,0.05,1E-4,0.3,32,16,5.0000000000000001E-4,1E-4,0,0.05
,,,,mean,0.98153333333333348,,,,,,,,,,,,,,,
,,,,std,5.2493385826744799E-4,,,,,,,,,,,,,,,
