Full,mode,acc_mean,acc_std,,,,,,,acc_mean,acc_std,,,,,,,,,
,Full,0.97245697602950198,1.1308851754650488E-4,,,,,,,0.97245697602950198,1.1308851754650488E-4,,,,,,,,,
r8,,,,,,,,,r8,,,,,,,,,,,
,mode,acc_mean,acc_std,,,,,,,mode,acc_mean,acc_std,,,,,,,,
1,lora,0.971931981151403,1.1627674743645046E-3,,,,,,1,lora,0.971931981151403,1.1627674743645046E-3,,,,,,,,
2,flat_lora,0.97250819504199937,7.7487273460397153E-4,,,,,,2,flat_lora,0.97250819504199937,7.7487273460397153E-4,,,,,,,,
3,pacf,0.97291794714197877,4.1015205332028352E-4,,,,,,3,pacf,0.97291794714197877,4.1015205332028352E-4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
r16,,,,,,,,,r16,,,,,,,,,,,
,mode,acc_mean,acc_std,,,,,,,mode,acc_mean,acc_std,,,,,,,,
1,lora,0.97280270436385941,5.3596725918002243E-4,,,,,,1,lora,0.97280270436385941,5.3596725918002243E-4,,,,,,,,
2,flat_lora,0.97241856177012875,4.899387028710039E-4,,,,,,2,flat_lora,0.97241856177012875,4.899387028710039E-4,,,,,,,,
3,pacf,0.97330208973570953,8.7822312023558172E-4,,,,,,3,pacf,0.97330208973570953,8.7822312023558172E-4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
full,,,,,,,,,,,,,,,,,,,,
,dataset,rank,mode,seed,acc_last,loss_last,f1_last,acc_best,loss_best,f1_best,epochs,flat_sigma_max,pac_lambda,reg_warmup_ratio,lora_alpha,lora_r,lr_lora,lr_full,weight_decay,dropout
1,svhn,8,full,1,0.97261063306699402,0.147902932556113,0.97051786356139103,0.97372464658881297,0.131008060608968,0.97203971440224901,10,,,,,,,1E-4,0,0.05
2,svhn,8,full,2,0.97234173325138296,0.155752342659121,0.97041567143326102,0.97234173325138296,0.155752342659121,0.97041567143326102,10,,,,,,,1E-4,0,0.05
3,svhn,8,full,3,0.97241856177012898,0.139642307645862,0.97088091623905703,0.97284111862323297,0.125459342814876,0.97147625587889297,10,,,,,,,1E-4,0,0.05
,,,,mean,0.97245697602950198,,,,,,,,,,,,,,,
,,,,std,1.1308851754650488E-4,,,,,,,,,,,,,,,
r8,,,,,,,,,,,,,,,,,,,,
,dataset,rank,mode,seed,acc_last,loss_last,f1_last,acc_best,loss_best,f1_best,epochs,flat_sigma_max,pac_lambda,reg_warmup_ratio,lora_alpha,lora_r,lr_lora,lr_full,weight_decay,dropout
1,svhn,8,lora,1,0.97122771972956301,0.138274089546018,0.96894930091677001,0.97330208973570898,0.120319639667456,0.971337533281878,10,,,,32,8,5.0000000000000001E-4,,0,0.05
2,svhn,8,lora,2,0.97357098955132104,0.13334399897699001,0.97171536992956598,0.97372464658881297,0.13008565859114599,0.972056550891226,10,,,,32,8,5.0000000000000001E-4,,0,0.05
3,svhn,8,lora,3,0.97099723417332495,0.139281828370868,0.968536027435278,0.97122771972956301,0.13294657985161701,0.96863063920235304,10,,,,32,8,5.0000000000000001E-4,,0,0.05
,,,,mean,0.971931981151403,,,,,,,,,,,,,,,
,,,,std,1.1627674743645046E-3,,,,,,,,,,,,,,,
4,svhn,8,flat_lora,1,0.97149661954517497,0.13077369197680999,0.96948491924982805,0.97211124769514401,0.113891590059206,0.96996498116177499,10,0.05,,,32,8,5.0000000000000001E-4,,0,0.05
5,svhn,8,flat_lora,2,0.97337891825445599,0.12831806373160201,0.97159747367878002,0.97337891825445599,0.12831806373160201,0.97159747367878002,10,0.05,,,32,8,5.0000000000000001E-4,,0,0.05
6,svhn,8,flat_lora,3,0.97264904732636703,0.134742680087584,0.97095606392318101,0.97264904732636703,0.134742680087584,0.97095606392318101,10,0.05,,,32,8,5.0000000000000001E-4,,0,0.05
,,,,mean,0.97250819504199937,,,,,,,,,,,,,,,
,,,,std,7.7487273460397153E-4,,,,,,,,,,,,,,,
7,svhn,8,pacf,1,0.97257221880762101,0.13240635064421899,0.97032351486372403,0.97264904732636703,0.131339927419754,0.97023372355181903,10,0.05,5.0000000000000002E-5,0.3,32,8,5.0000000000000001E-4,,0,0.05
8,svhn,8,pacf,2,0.97349416103257502,0.12578882067278199,0.97143451009555903,0.97426244622003599,0.12203338785072899,0.97238936759208505,10,0.05,5.0000000000000002E-5,0.3,32,8,5.0000000000000001E-4,,0,0.05
9,svhn,8,pacf,3,0.97268746158574004,0.12865477345183199,0.97090627955929298,0.97318684695758995,0.123129010676751,0.97149268153509005,10,0.05,5.0000000000000002E-5,0.3,32,8,5.0000000000000001E-4,,0,0.05
,,,,mean,0.97291794714197877,,,,,,,,,,,,,,,
,,,,std,4.1015205332028352E-4,,,,,,,,,,,,,,,
r16,,,,,,,,,,,,,,,,,,,,
,dataset,rank,mode,seed,acc_last,loss_last,f1_last,acc_best,loss_best,f1_best,epochs,flat_sigma_max,pac_lambda,reg_warmup_ratio,lora_alpha,lora_r,lr_lora,lr_full,weight_decay,dropout
1,svhn,16,lora,1,0.97349416103257502,0.134038338777692,0.97160987598052095,0.97349416103257502,0.134038338777692,0.97160987598052095,10,,,,32,16,5.0000000000000001E-4,,0,0.05
2,svhn,16,lora,2,0.97272587584511305,0.139597740681463,0.970477798706186,0.97272587584511305,0.139597740681463,0.970477798706186,10,,,,32,16,5.0000000000000001E-4,,0,0.05
3,svhn,16,lora,3,0.97218807621389003,0.13616536776566601,0.97022001159189297,0.97284111862323297,0.12794978116177,0.97097082202042895,10,,,,32,16,5.0000000000000001E-4,,0,0.05
,,,,mean,0.97280270436385941,,,,,,,,,,,,,,,
,,,,std,5.3596725918002243E-4,,,,,,,,,,,,,,,
4,svhn,16,flat_lora,1,0.97203441917639799,0.13884988360761699,0.96986359565192504,0.97238014751075597,0.13339999142276299,0.97027591669450097,10,0.05,,,32,16,5.0000000000000001E-4,,0,0.05
5,svhn,16,flat_lora,2,0.97211124769514401,0.14063922563120099,0.97004117547183799,0.97211124769514401,0.14063922563120099,0.97004117547183799,10,0.05,,,32,16,5.0000000000000001E-4,,0,0.05
6,svhn,16,flat_lora,3,0.97311001843884404,0.13885133687381501,0.97118592326801301,0.97318684695758995,0.13273401939400001,0.97118958332542304,10,0.05,,,32,16,5.0000000000000001E-4,,0,0.05
,,,,mean,0.97241856177012875,,,,,,,,,,,,,,,
,,,,std,4.899387028710039E-4,,,,,,,,,,,,,,,
7,svhn,16,pacf,1,0.972533804548248,0.14128616123420701,0.97025107108108699,0.972956361401352,0.13488169309363099,0.97081518319240701,10,0.05,9.0000000000000006E-5,0.36,32,16,5.0000000000000001E-4,,0,0.05
8,svhn,16,pacf,2,0.97284111862323297,0.135659286020794,0.97099213984752897,0.972956361401352,0.12980788955310399,0.97127903196893095,10,0.05,9.0000000000000006E-5,0.36,32,16,5.0000000000000001E-4,,0,0.05
9,svhn,16,pacf,3,0.97453134603564795,0.13022848625782399,0.97266026910038195,0.97468500307313999,0.124672399244208,0.97288687819975095,10,0.05,9.0000000000000006E-5,0.36,32,16,5.0000000000000001E-4,,0,0.05
,,,,mean,0.97330208973570953,,,,,,,,,,,,,,,
,,,,std,8.7822312023558172E-4,,,,,,,,,,,,,,,
