Rank,Method,Clean performance,Probe performance,Performance drop,Loss increase,Source_note
r=8,LoRA+R-Drop,83.32,78.16,5.16,0.0319,Paper-reported summary value; raw ablation log not included in the uploaded artifact
r=8,PACF-Cons,83.80,79.52,4.28,0.0225,Paper-reported summary value; raw ablation log not included in the uploaded artifact
r=16,LoRA+R-Drop,83.22,81.34,1.88,0.0038,Paper-reported summary value; raw ablation log not included in the uploaded artifact
r=16,PACF-Cons,83.80,81.92,1.88,0.0109,Paper-reported summary value; raw ablation log not included in the uploaded artifact
