method_display,method_key,rank,cola_mcc_mean_percent,cola_mcc_std_percent,cifar10_acc_mean_percent,cifar10_acc_std_percent,delta_boot_cola_pp_mean,delta_boot_cola_pp_ci_low,delta_boot_cola_pp_ci_high,delta_boot_cifar10_pp_mean,delta_boot_cifar10_pp_ci_low,delta_boot_cifar10_pp_ci_high,delta_reference,n_seeds,bootstrap_resamples,paper_display_cola,paper_display_cifar10,paper_display_delta_cola,paper_display_delta_cifar10,notes
LoRA,lora,8,58.7,1.76,98.02,0.1,-0.08,-0.99,+0.71,+0.02,-0.01,+0.06,LoRA+L2,10,10000,58.70±1.76,98.02±0.10,"-0.08 [-0.99,+0.71]","+0.02 [-0.01,+0.06]","Matches main Table 1, percentage units."
Flat-LoRA,flat_lora,8,58.34,1.66,97.99,0.07,-0.44,-1.67,+0.83,-0.00,-0.09,+0.08,LoRA+L2,10,10000,58.34±1.66,97.99±0.07,"-0.44 [-1.67,+0.83]","-0.00 [-0.09,+0.08]","Matches main Table 1, percentage units."
LoRA+L2,lora_l2,8,58.79,1.33,97.99,0.11,ref,,,ref,,,LoRA+L2,10,10000,58.79±1.33,97.99±0.11,0 (ref.),0 (ref.),Reference method for paired-bootstrap deltas.
PACF-Cons,pacf_cons,8,59.05,1.23,98.02,0.06,+0.26,-0.34,+0.83,+0.03,-0.03,+0.09,LoRA+L2,10,10000,59.05±1.23,98.02±0.06,"+0.26 [-0.34,+0.83]","+0.03 [-0.03,+0.09]",Updated for the current Table 1. CoLA mean/std are supported by tables/main_table1_cola_pacf_cons_10seed_raw.csv; bootstrap deltas follow the current paper table.
PACF-KL,pacf_kl,8,58.78,1.76,98.02,0.11,-0.01,-0.96,+0.97,+0.03,-0.09,+0.13,LoRA+L2,10,10000,58.78±1.76,98.02±0.11,"-0.01 [-0.96,+0.97]","+0.03 [-0.09,+0.13]","Matches main Table 1, percentage units."
PiSSA,pissa,8,58.29,1.55,97.23,0.12,-0.50,-1.15,+0.19,-0.76,-0.85,-0.67,LoRA+L2,10,10000,58.29±1.55,97.23±0.12,"-0.50 [-1.15,+0.19]","-0.76 [-0.85,-0.67]","Matches main Table 1, percentage units."
CLoRA,clora,8,58.46,0.86,98.02,0.09,-0.32,-1.24,+0.44,+0.02,-0.05,+0.09,LoRA+L2,10,10000,58.46±0.86,98.02±0.09,"-0.32 [-1.24,+0.44]","+0.02 [-0.05,+0.09]","Matches main Table 1, percentage units."
StelLA-style,stella_style,8,57.5,1.25,97.18,0.13,-1.29,-2.16,-0.44,-0.81,-0.91,-0.73,LoRA+L2,10,10000,57.50±1.25,97.18±0.13,"-1.29 [-2.16,-0.44]","-0.81 [-0.91,-0.73]","Matches main Table 1, percentage units."
