paper_table,label,method,cifar10_percent,cifar100_percent,cars_percent,svhn_percent,dtd_percent,avg_percent,notes
5,tab:vision_full,Full FT,96.77±0.14,85.69±0.28,81.66±0.47,97.25±0.01,72.59±0.77,86.79,three seeds
5,tab:vision_full,LoRA (r=8),97.95±0.12,89.05±0.13,73.04±0.37,97.19±0.12,78.85±0.20,87.22,three seeds
5,tab:vision_full,Flat-LoRA (r=8),98.05±0.04,89.27±0.26,72.53±0.50,97.25±0.08,78.79±0.42,87.18,three seeds
5,tab:vision_full,PACF-KL (r=8),98.10±0.06,89.28±0.17,73.05±0.53,97.29±0.04,78.92±0.25,87.33,three seeds
5,tab:vision_full,LoRA (r=16),98.07±0.07,89.37±0.28,76.77±0.21,97.28±0.05,78.23±0.22,87.94,three seeds
5,tab:vision_full,Flat-LoRA (r=16),98.05±0.04,89.63±0.17,76.84±0.36,97.24±0.05,78.14±0.36,87.98,three seeds
5,tab:vision_full,PACF-KL (r=16),98.15±0.05,89.65±0.20,76.96±0.26,97.33±0.09,78.79±0.46,88.18,three seeds
